"Method_Name","Total_Number_Of_Lines","Cyclomatic_Complexity"
"AbstractJUnit4InitMethodNotRun.annotationReplacements",1,0
"AbstractJUnit4InitMethodNotRun.Constructor",3,0
"AbstractJUnit4InitMethodNotRun.correctAnnotation",1,0
"AbstractJUnit4InitMethodNotRun.findAnnotation",11,0
"AbstractJUnit4InitMethodNotRun.getUnqualifiedClassName",3,0
"AbstractJUnit4InitMethodNotRun.makeProtectedPublic",14,0
"AbstractJUnit4InitMethodNotRun.matchMethod",45,0
"AbstractJUnit4InitMethodNotRun.methodMatcher",1,0
"AbstractJUnit4InitMethodNotRun.tryToReplaceAnnotation",13,0
"AbstractLockMethodChecker.buildMessage",1,1
"AbstractLockMethodChecker.formatLockString",6,1
"AbstractLockMethodChecker.getActual",1,1
"AbstractLockMethodChecker.getLockExpressions",1,1
"AbstractLockMethodChecker.getUnwanted",1,1
"AbstractLockMethodChecker.matchMethod",26,5
"AbstractLockMethodChecker.parseLockExpressions",13,2
"AbstractReturnValueIgnored.describe",26,0
"AbstractReturnValueIgnored.identifierHasName",8,0
"AbstractReturnValueIgnored.matchMethodInvocation",12,0
"AbstractReturnValueIgnored.specializedMatcher",1,0
"AdjustedPosition.Constructor",5,0
"AdjustedPosition.getEndPosition",3,1
"AdjustedPosition.getPreferredPosition",3,1
"AdjustedPosition.getStartPosition",3,1
"AdjustedPosition.getTree",3,1
"AnnotationDoesNotHaveArgument.Constructor",3,0
"AnnotationDoesNotHaveArgument.matches",3,0
"AnnotationHasArgumentWithValue.Constructor",4,0
"AnnotationHasArgumentWithValue.matches",19,5
"AnnotationMatcherUtils.Constructor",1,0
"AnnotationMatcherUtils.getArgument",14,0
"AnnotationType.Constructor",3,0
"AnnotationType.matches",9,3
"ArrayEquals.matchMethodInvocation",18,3
"ArrayHashCode.matchMethodInvocation",17,5
"ArrayToString.matchMethodInvocation",22,4
"ArrayToStringCompoundAssignment.matchCompoundAssignment",12,2
"ArrayToStringConcatenation.matchBinary",18,3
"BadShiftAmount.matchBinary",25,0
"BadShiftAmount.matches",20,0
"BugChecker.allNames",3,0
"BugChecker.buildDescription",3,0
"BugChecker.canonicalName",3,0
"BugChecker.Constructor",23,0
"BugChecker.createLinkUrl",17,0
"BugChecker.customSuppressionAnnotation",3,0
"BugChecker.defaultSeverity",3,0
"BugChecker.describeMatch",4,0
"BugChecker.equals",10,0
"BugChecker.hashCode",3,0
"BugChecker.linkUrl",3,0
"BugChecker.maturity",3,0
"BugChecker.message",3,0
"BugChecker.severity",3,0
"BugChecker.suppressibility",3,0
"BuiltInCheckerSuppliers.allChecks",3,0
"BuiltInCheckerSuppliers.apply",3,0
"BuiltInCheckerSuppliers.Constructor",1,0
"BuiltInCheckerSuppliers.matureChecks",3,0
"CannotMockFinalClass.matchMethodInvocation",5,2
"CannotMockFinalClass.matchVariable",5,2
"ChainingConstructorIgnoresParameter.evaluateCallers",32,0
"ChainingConstructorIgnoresParameter.indexTypeByName",7,0
"ChainingConstructorIgnoresParameter.isIdentifierWithName",3,0
"ChainingConstructorIgnoresParameter.matchCompilationUnit",6,0
"ChainingConstructorIgnoresParameter.matchMethod",8,0
"ChainingConstructorIgnoresParameter.matchMethodInvocation",8,0
"ChainingConstructorIgnoresParameter.referencesIdentifierWithName",10,0
"ChainingConstructorIgnoresParameter.reportMatch",4,0
"CheckReturnValue.checkEnclosingClasses",11,0
"CheckReturnValue.checkPackage",3,0
"CheckReturnValue.matchClass",7,0
"CheckReturnValue.matches",19,0
"CheckReturnValue.matchMethod",25,0
"CheckReturnValue.shouldCheckReturnValue",9,0
"CheckReturnValue.specializedMatcher",3,0
"ClassCanBeStatic.matchClass",22,0
"ClassCanBeStatic.matches",12,0
"ClassCanBeStatic.referenceEnclosing",3,0
"CollectionIncompatibleType.argCastableToMethodReceiverTypeParam",5,1
"CollectionIncompatibleType.matchMethodInvocation",6,2
"ComparisonOutOfRange.describe",36,0
"ComparisonOutOfRange.matchBinary",6,0
"CompileTimeConstantChecker.matchArguments",31,0
"CompileTimeConstantChecker.matches",6,0
"CompileTimeConstantChecker.matchMethodInvocation",6,0
"CompileTimeConstantChecker.matchNewClass",6,0
"CompileTimeConstantExpressionMatcher.hasAttribute",4,0
"CompileTimeConstantExpressionMatcher.hasCompileTimeConstantAnnotation",4,0
"CompileTimeConstantExpressionMatcher.matches",3,0
"ConstantPropagationAnalysis.numberValue",7,3
"ConstructorOfClass.Constructor",3,0
"ConstructorOfClass.getChildNodes",9,3
"CovariantEquals.matchMethod",33,0
"DepAnn.checkDeprecatedAnnotation",10,3
"DepAnn.matchClass",3,1
"DepAnn.matchMethod",3,1
"DepAnn.matchVariable",3,1
"DescendantOf.Constructor",4,0
"DescendantOf.matches",20,5
"Description.applySeverityOverride",3,0
"Description.builder",3,0
"Description.Constructor",8,0
"Description.getMessage",3,0
"Description.getMessageWithoutCheckName",5,0
"Description.linkTextForDiagnostic",3,0
"DivZero.matchBinary",3,1
"DivZero.matchCompoundAssignment",3,1
"DivZero.matchDivZero",18,5
"EditDistance.Constructor",1,0
"EditDistance.getEditDistance",19,1
"EditDistance.getEditDistance",19,9
"EditDistance.isEmptyOrWhitespace",3,2
"ElementsCountedInLoop.extractSingleStatement",10,3
"ElementsCountedInLoop.getIncrementedIdentifer",40,18
"ElementsCountedInLoop.isConstantOne",16,8
"ElementsCountedInLoop.matchEnhancedForLoop",24,4
"ElementsCountedInLoop.matchWhileLoop",15,4
"EmptyIfStatement.matchEmptyStatement",22,5
"EqualsNaN.matchBinary",26,6
"EqualsNaN.matchNaN",12,7
"EqualsNaN.toString",4,2
"ErrorProneCompiler.compile",5,0
"ErrorProneCompiler.Constructor",10,0
"ErrorProneCompiler.defaultToLatestSupportedLanguageLevel",19,0
"ErrorProneCompiler.enableEndPositions",3,0
"ErrorProneCompiler.finished",1,0
"ErrorProneCompiler.main",3,0
"ErrorProneCompiler.prepareCompilation",14,0
"ErrorProneCompiler.run",12,0
"ErrorProneCompiler.setupMessageBundle",3,0
"ErrorProneCompiler.started",1,0
"ErrorProneJavacJavaCompiler.Constructor",6,0
"ErrorProneJavacJavaCompiler.flow",13,0
"ErrorProneJavacJavaCompiler.loadVersionFromPom",14,0
"ErrorProneJavacJavaCompiler.postFlow",3,0
"ErrorProneJavacJavaCompiler.preRegister",8,0
"ErrorProneJavacJavaCompiler.setupMessageBundle",3,0
"ErrorProneJavaCompiler.Constructor",3,0
"ErrorProneJavaCompiler.getSourceVersions",9,2
"ErrorProneJavaCompiler.getStandardFileManager",6,1
"ErrorProneJavaCompiler.getTask",22,2
"ErrorProneJavaCompiler.isSupportedOption",4,2
"ErrorProneJavaCompiler.run",3,1
"ExpressionMethodSelect.Constructor",3,0
"ExpressionMethodSelect.matches",7,2
"FallThroughSuppression.matchAnnotation",6,2
"FallThroughSuppression.processSuppressWarningsValues",3,1
"ForOverrideChecker.getOutermostClass",13,0
"ForOverrideChecker.getOverriddenMethods",28,0
"ForOverrideChecker.hasAnnotation",8,0
"ForOverrideChecker.matchMethod",16,0
"ForOverrideChecker.matchMethodInvocation",19,0
"GuardedByBinder.bind",6,0
"GuardedByBinder.bindExpression",14,0
"GuardedByBinder.bindSelect",6,0
"GuardedByBinder.bindString",13,0
"GuardedByBinder.computeBase",3,0
"GuardedByBinder.isEnclosedIn",10,0
"GuardedByBinder.normalizeBase",17,0
"GuardedByBinder.resolveEnclosingClass",3,0
"GuardedByBinder.resolveIdentifier",3,0
"GuardedByBinder.resolveMethod",3,0
"GuardedByBinder.resolveSelect",3,0
"GuardedByBinder.resolveTypeLiteral",3,0
"GuardedByBinder.visitIdentifier",30,0
"GuardedByBinder.visitMemberSelect",19,0
"GuardedByBinder.visitMethodInvocation",25,0
"GuardedByChecker.checkGuardedAccess",15,0
"GuardedByChecker.isRWLock",15,0
"GuardedByChecker.matchMethod",13,0
"GuardedByChecker.matchVariable",3,0
"GuardedByChecker.report",6,0
"GuardedBySymbolResolver.attribIdent",5,0
"GuardedBySymbolResolver.Constructor",8,0
"GuardedBySymbolResolver.context",3,0
"GuardedBySymbolResolver.enclosingClass",3,0
"GuardedBySymbolResolver.from",5,0
"GuardedBySymbolResolver.getField",3,0
"GuardedBySymbolResolver.getLexicallyEnclosing",13,0
"GuardedBySymbolResolver.getMember",28,0
"GuardedBySymbolResolver.getMethod",3,0
"GuardedBySymbolResolver.getName",3,0
"GuardedBySymbolResolver.getSuperType",8,0
"GuardedBySymbolResolver.resolveEnclosingClass",9,0
